id_hecho;tipo_hecho_segun_victima;provincia_nombre;fecha_hecho;hora_hecho;tipo_lugar;tipo_lugar_otro;tipo_lugar_ampliado;clase_arma;clase_arma_otro;en_ocasion_otro_delito;en_ocasion_otro_delito_otro;victima_sexo;victima_identidad_genero;victima_identidad_genero_otro;victima_tr_edad;victima_mayor;victima_relacion;victima_situacion_ocupacional;inculpado_sexo;inculpado_tr_edad;inculpado_mayor
18606;HD Varón;Ciudad Autónoma de Buenos Aires;30/7/2018;04:25:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Sin relación;Sin Determinar;No corresponde;No corresponde;Sí
18607;HD Varón;Ciudad Autónoma de Buenos Aires;31/7/2018;12:00:00;Vía pública;;Vía pública;Arma blanca;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;Sin determinar;Sin determinar;Sin relación;Sin Determinar;No corresponde;Sin determinar;Sin determinar
18614;HD Varón;Ciudad Autónoma de Buenos Aires;11/8/2018;04:40:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;Sin determinar;Sin determinar;Otras relaciones no familiares;Sin Determinar;No corresponde;Sin determinar;Sin determinar
18615;HD Varón;Ciudad Autónoma de Buenos Aires;11/8/2018;18:00:00;Comercio;;Comercio;Quemaduras;Incendio;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;Sin determinar;Sin determinar;Sin determinación;Sin Determinar;Sin determinar;Sin determinar;Sin determinar
18616;HD Varón;Ciudad Autónoma de Buenos Aires;12/8/2018;02:10:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;No corresponde;Sin determinación;Sin Determinar;No corresponde;Sin determinar;No corresponde
18617;HD Mujer Cis Trans Travesti-Femicidio;Ciudad Autónoma de Buenos Aires;22/8/2018;13:32:00;Domicilio particular;;Domicilio particular;Golpes;;No fue en ocasión de otro delito;;No corresponde;No corresponde;-----------;No corresponde;Sí;No corresponde;Sin Determinar;No corresponde;No corresponde;Sí
18618;HD Varón;Ciudad Autónoma de Buenos Aires;29/8/2018;18:10:00;Vía pública;;Vía pública;Arma blanca;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;Sin determinar;Sin determinar;Sin relación;Sin Determinar;Sin determinar;Sin determinar;Sin determinar
18619;HD Varón;Ciudad Autónoma de Buenos Aires;30/8/2018;18:00:00;Vía pública;;Vía pública;Arma blanca;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Otras relaciones no familiares;Sin Determinar;No corresponde;Sin determinar;Sin determinar
18621;HD Varón;Ciudad Autónoma de Buenos Aires;1/9/2018;01:00:00;Vía pública;;Vía pública;Arma blanca;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Otras relaciones no familiares;Sin Determinar;No corresponde;Sin determinar;Sin determinar
18622;HD Varón;Ciudad Autónoma de Buenos Aires;5/9/2018;03:10:00;Vía pública;;Vía pública;Arma blanca;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Otras relaciones no familiares;Sin Determinar;No corresponde;No corresponde;Sí
18623;HD Varón;Ciudad Autónoma de Buenos Aires;6/9/2018;21:00:00;Vía pública;;Vía pública;Arma blanca;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;Sin determinar;Sin determinar;Sin determinar
18624;HD Varón;Ciudad Autónoma de Buenos Aires;8/9/2018;05:20:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;Sin determinar;Sin determinar;Sin determinar
